stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,14,14
DRAM_COLUMN,191,191
DRAM_AVG_LATENCY_BASE,191,191
DRAM_AVG_LATENCY,72160,377.801
BANDWIDTH_TOT,24320,24320
DRAM_CHANNEL0_BANDWIDTH_SATURATED,876,876
DRAM_CHANNEL1_BANDWIDTH_SATURATED,616,616
DRAM_CHANNEL2_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL3_BANDWIDTH_SATURATED,863,863
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,85792,85792
DRAM_CHANNEL1_DBUS_IDLE,85936,85936
DRAM_CHANNEL2_DBUS_IDLE,86672,86672
DRAM_CHANNEL3_DBUS_IDLE,85824,85824
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
