stat,raw_value,agg_value
DRAM_PRECHARGE,0,0
DRAM_ACTIVATE,7,7
DRAM_COLUMN,67,67
DRAM_AVG_LATENCY_BASE,67,67
DRAM_AVG_LATENCY,13669,204.015
BANDWIDTH_TOT,8384,8384
DRAM_CHANNEL0_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL1_BANDWIDTH_SATURATED,481,481
DRAM_CHANNEL2_BANDWIDTH_SATURATED,37,37
DRAM_CHANNEL3_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL4_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL5_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL6_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL7_BANDWIDTH_SATURATED,0,0
DRAM_CHANNEL0_DBUS_IDLE,1095968,1095968
DRAM_CHANNEL1_DBUS_IDLE,1095272,1095272
DRAM_CHANNEL2_DBUS_IDLE,1095664,1095664
DRAM_CHANNEL3_DBUS_IDLE,1095984,1095984
DRAM_CHANNEL4_DBUS_IDLE,0,0
DRAM_CHANNEL5_DBUS_IDLE,0,0
DRAM_CHANNEL6_DBUS_IDLE,0,0
DRAM_CHANNEL7_DBUS_IDLE,0,0
