stat,raw_value,agg_value
POWER_LLC_LINEFILL_BUF_R,1542,1542
POWER_LLC_LINEFILL_BUF_W,1539,1539
POWER_LLC_LINEFILL_BUF_R_TAG,1542,1542
POWER_LLC_WB_BUF_R,0,0
POWER_LLC_WB_BUF_W,0,0
POWER_LLC_WB_BUF_R_TAG,0,0
POWER_LLC_R,78,78
POWER_LLC_W,1539,1539
POWER_LLC_R_TAG,1617,1617
POWER_MC_R,7362,7362
POWER_MC_W,1539,1539
POWER_BLOCK_STATES_R_CORE_0,25255,25255
POWER_BLOCK_STATES_W_CORE_0,25255,25255
POWER_FETCH_QUEUE_R_CORE_0,15842,15842
POWER_FETCH_QUEUE_W_CORE_0,15842,15842
POWER_INST_QUEUE_R_CORE_0,27029,27029
POWER_INST_QUEUE_W_CORE_0,15842,15842
POWER_BR_PRED_R_CORE_0,130,130
POWER_BR_PRED_W_CORE_0,130,130
POWER_RAS_R_CORE_0,32,32
POWER_RAS_W_CORE_0,0,0
POWER_ICACHE_R_CORE_0,15842,15842
POWER_ICACHE_W_CORE_0,3,3
POWER_ICACHE_R_TAG_CORE_0,15938,15938
POWER_ICACHE_MISS_BUF_R_CORE_0,0,0
POWER_ICACHE_MISS_BUF_W_CORE_0,192,192
POWER_ICACHE_MISS_BUF_R_TAG_CORE_0,96,96
POWER_ICACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_ICACHE_TOT_ACC_CORE_0,0,0
POWER_ICACHE_CONF_CORE_0,0,0
POWER_INST_DECODER_R_CORE_0,15842,15842
POWER_INST_DECODER_W_CORE_0,0,0
POWER_MICRO_OP_SEQ_R_CORE_0,0,0
POWER_MICRO_OP_SEQ_W_CORE_0,0,0
POWER_OPERAND_DECODER_R_CORE_0,15842,15842
POWER_OPERAND_DECODER_W_CORE_0,0,0
POWER_UOP_QUEUE_R_CORE_0,27029,27029
POWER_UOP_QUEUE_W_CORE_0,15842,15842
POWER_REG_RENAMING_TABLE_R_CORE_0,0,0
POWER_REG_RENAMING_TABLE_W_CORE_0,0,0
POWER_DEP_CHECK_LOGIC_R_CORE_0,15842,15842
POWER_FREELIST_R_CORE_0,0,0
POWER_FREELIST_W_CORE_0,0,0
POWER_RESERVATION_STATION_R_CORE_0,52858,52858
POWER_RESERVATION_STATION_W_CORE_0,15842,15842
POWER_RESERVATION_STATION_R_TAG_CORE_0,15842,15842
POWER_RESERVATION_STATION_W_TAG_CORE_0,0,0
POWER_INST_ISSUE_SEL_LOGIC_R_CORE_0,15842,15842
POWER_INST_ISSUE_SEL_LOGIC_W_CORE_0,15842,15842
POWER_PAYLOAD_RAM_R_CORE_0,15842,15842
POWER_PAYLOAD_RAM_W_CORE_0,15842,15842
POWER_EX_ALU_R_CORE_0,6850,6850
POWER_EX_FPU_R_CORE_0,0,0
POWER_EX_MUL_R_CORE_0,0,0
POWER_EX_SFU_R_CORE_0,0,0
POWER_REORDER_BUF_R_CORE_0,0,0
POWER_REORDER_BUF_W_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_R_CORE_0,0,0
POWER_INST_COMMIT_SEL_LOGIC_W_CORE_0,15842,15842
POWER_FP_RENAME_R_CORE_0,0,0
POWER_FP_RENAME_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_CORE_0,0,0
POWER_LOAD_QUEUE_W_CORE_0,0,0
POWER_LOAD_QUEUE_R_TAG_CORE_0,0,0
POWER_LOAD_QUEUE_W_TAG_CORE_0,0,0
POWER_STORE_QUEUE_R_CORE_0,0,0
POWER_STORE_QUEUE_W_CORE_0,0,0
POWER_STORE_QUEUE_R_TAG_CORE_0,0,0
POWER_STORE_QUEUE_W_TAG_CORE_0,0,0
POWER_DATA_TLB_R_CORE_0,0,0
POWER_DATA_TLB_W_CORE_0,0,0
POWER_DATA_TLB_R_TAG_CORE_0,0,0
POWER_DATA_TLB_W_TAG_CORE_0,0,0
POWER_INT_REGFILE_R_CORE_0,22692,22692
POWER_INT_REGFILE_W_CORE_0,15842,15842
POWER_FP_REGFILE_R_CORE_0,0,0
POWER_FP_REGFILE_W_CORE_0,0,0
POWER_GP_REGISTER_R_CORE_0,22692,22692
POWER_GP_REGISTER_W_CORE_0,15842,15842
POWER_FP_REGISTER_R_CORE_0,0,0
POWER_FP_REGISTER_W_CORE_0,0,0
POWER_SEGMENT_REGISTER_R_CORE_0,8992,8992
POWER_SEGMENT_REGISTER_W_CORE_0,8992,8992
POWER_CONTROL_REGISTER_R_CORE_0,0,0
POWER_CONTROL_REGISTER_W_CORE_0,0,0
POWER_FLAG_REGISTER_R_CORE_0,0,0
POWER_FLAG_REGISTER_W_CORE_0,0,0
POWER_EXEC_BYPASS_CORE_0,15842,15842
POWER_LOAD_BYPASS_CORE_0,339,339
POWER_PIPELINE_CORE_0,15842,15842
POWER_DCACHE_MISS_BUF_R_CORE_0,339,339
POWER_DCACHE_MISS_BUF_R_TAG_CORE_0,288,288
POWER_DCACHE_MISS_BUF_W_CORE_0,288,288
POWER_DCACHE_MISS_BUF_W_TAG_CORE_0,0,0
POWER_DCACHE_LINEFILL_BUF_R_CORE_0,0,0
POWER_L2CACHE_LINEFILL_BUF_R_CORE_0,113,113
POWER_DCACHE_LINEFILL_BUF_W_CORE_0,113,113
POWER_L2CACHE_LINEFILL_BUF_W_CORE_0,113,113
POWER_DCACHE_LINEFILL_BUF_R_TAG_CORE_0,113,113
POWER_L2CACHE_LINEFILL_BUF_R_TAG_CORE_0,113,113
POWER_DCACHE_LINEFILL_BUF_W_TAG_CORE_0,113,113
POWER_DCACHE_WB_BUF_R_CORE_0,0,0
POWER_L2CACHE_WB_BUF_R_CORE_0,0,0
POWER_DCACHE_WB_BUF_W_CORE_0,0,0
POWER_L2CACHE_WB_BUF_W_CORE_0,0,0
