kernel,kernel_id,stat,value
final_kernel,0,kernel_launch_uid,16
final_kernel,0,gpu_total_instructions,1533440
final_kernel,0,l2_cache_write_total,11264
final_kernel,0,total_dram_reads,512
final_kernel,0,l2_cache_read_miss,128
final_kernel,0,total_core_cache_read_mshr_hit,0
final_kernel,0,total_core_cache_write_hit,3072
final_kernel,0,total_core_cache_read_hit,0
final_kernel,0,total_core_cache_read_total,8192
final_kernel,0,l2_bandwidth_gbps,6.4209
final_kernel,0,total_core_cache_write_total,11264
final_kernel,0,gpu_tot_ipc,16.861
final_kernel,0,total_dram_writes,0
final_kernel,0,gpgpu_simulation_rate,3248
final_kernel,0,l2_cache_write_miss,128
final_kernel,0,l2_cache_write_hit,10752
final_kernel,0,gpgpu_silicon_slowdown,348522
final_kernel,0,gpu_ipc,29.9117
final_kernel,0,gpu_tot_sim_cycle,90946
final_kernel,0,l2_cache_read_total,8192
final_kernel,0,gpgpu_n_tot_w_icount,49152
final_kernel,0,gpgpu_simulation_time_sec,28
final_kernel,0,l2_cache_read_hit,7680
final_kernel,0,gpu_occupancy,16.2394
